nazev,mira,sleva,stara_cena,nova_cena,platnost
 Budějovický Budvar Budvar 33 ležák,0.5l,-31%,21.90,14.90,11. 08. 2020
 Excelent 11 prémiový ležák,0.5l,-12%,15.90,13.90,07. 09. 2020
 Kozel Mistrův ležák,0.5l,-22%,17.90,13.90,18. 08. 2020
 Staropramen Jedenáctka pivo ležák světlý,0.5l,-35%,16.90,10.90,31. 08. 2020
 Staropramen Ležák pivo světlé,0.5l,-39%,17.90,10.90,31. 08. 2020
 Stella Artois Pivo ležák světlý,0.5l,-33%,26.90,17.90,11. 08. 2020
 Velkopopovický Kozel 11 pivo ležák světlý,500ml,-31%,15.90,10.90,31. 08. 2020
 Velkopopovický Kozel řezaný,500ml,-31%,15.90,10.90,31. 08. 2020
 Zlatý Bažant pivo ležák světlý,0.5l,-27%,17.90,12.90,11. 08. 2020
 Birell Bezovka míchaný nápoj z nealkoholického piva,0.5l,-25%,19.90,14.90,31. 08. 2020
 Birell Citronáda míchaný nápoj z nealkoholického piva,0.5l,-25%,19.90,14.90,31. 08. 2020
 Birell Cola míchaný nápoj z nealkoholického piva,0.5l,-25%,19.90,14.90,31. 08. 2020
 Birell Ledový čaj s broskví míchaný nápoj z nealkoholického piva,0.4l,-25%,19.90,14.90,31. 08. 2020
 Březňák Pivo ležák staré školy,0.5l,-22%,17.90,13.90,11. 08. 2020
 Budějovický Budvar Budvar 33 ležák,0.5l,-29%,23.90,16.90,11. 08. 2020
 Gambrinus Patron 12 pivo ležák světlý,500ml,-14%,20.90,17.90,31. 08. 2020
 Heineken pivo ležák světlý,0.5l,-21%,22.90,17.90,11. 08. 2020
 Krušovice Královský Ležák 12. Pivo ležák světlý.,0.5l,-21%,18.90,14.90,31. 08. 2020
 Radegast Ryze hořká 12 pivo světlý ležák,500ml,-14%,20.90,17.90,31. 08. 2020
 Starobrno Medium pivo ležák světlý,0.5l,-22%,17.90,13.90,11. 08. 2020
 Birell Cola míchaný nápoj z nealkoholického piva,0.4l,-25%,19.90,14.90,31. 08. 2020
 Birell S příchutí Zelený čaj s broskví míchaný nápoj z nealkoholického piva,0.5l,-25%,19.90,14.90,31. 08. 2020
 Zlatopramen 11 pivo ležák světlý,1.5l,-41%,45.90,26.90,11. 08. 2020
 Braník Světlý,0.5l,-38%,12.90,7.90,11. 08. 2020
 Budweiser Budvar B:Classic světlé výčepní pivo,0.5l,-28%,13.90,9.90,11. 08. 2020
 Gambrinus Originál 10 pivo výčepní světlé,0.5l,-28%,13.90,9.90,11. 08. 2020
 Krušovice Královský Originál 10. Pivo výčepní světlé.,0.5l,-35%,13.90,8.90,11. 08. 2020
 Radegast Rázná 10 pivo výčepní světlé,500ml,-28%,13.90,9.90,11. 08. 2020
 Braník Pivo ležák světlý,0.5l,-22%,17.90,13.90,11. 08. 2020
 Braník Pivo výčepní světlé,0.5l,-11%,16.90,14.90,10. 08. 2020
 Krušovice Královský Originál 10. Pivo výčepní světlé.,0.5l,-27%,17.90,12.90,31. 08. 2020
 Starobrno RED ochucené višnové pivo,0.5l,-13%,21.90,18.90,11. 08. 2020
 Staropramen Legendární Smíchov pivo výčepní světlé,0.5l,-22%,17.90,13.90,07. 09. 2020
 Zlatý Bažant pivo ležák světlý,0.5l,-28%,20.90,14.90,11. 08. 2020
 Březňák pivo výčepní světlé,2l,-33%,44.90,29.90,31. 08. 2020
 Braník Černý pivo výčepní tmavé,0.5l,-28%,13.90,9.90,11. 08. 2020
 Krušovice Královské Černé. Pivo výčepní tmavé.,0.5l,-33%,14.90,9.90,11. 08. 2020
 Velkopopovický Kozel Černý pivo výčepní tmavé,0.5l,-31%,15.90,10.90,31. 08. 2020
 Starobrno American Pale Ale,0.5l,-13%,21.90,18.90,11. 08. 2020
 Starobrno India Pale Lager,0.5l,-13%,21.90,18.90,11. 08. 2020
 Budějovický Budvar Budvar 33 ležák 8 x,0.5l,-33%,179.00,119.00,11. 08. 2020
 Staropramen Legendární Smíchov pivo výčepní světlé 10 x,0.5l,-33%,149.90,99.90,31. 08. 2020
 Frisco Cider Ananas a Lemongrass,330ml,-19%,20.90,16.90,11. 08. 2020
 Frisco Cider brusinka,330ml,-19%,20.90,16.90,11. 08. 2020
 Frisco Cider jablko a citrón,330ml,-19%,20.90,16.90,11. 08. 2020
 Frisco Cider lesní ovoce,330ml,-19%,20.90,16.90,11. 08. 2020
 Frisco Cider Spritz,330ml,-19%,20.90,16.90,11. 08. 2020
 Cool Grep,0.5l,-35%,19.90,12.90,11. 08. 2020
 Cool Lemon,0.5l,-35%,19.90,12.90,11. 08. 2020
 Zlatopramen radler citrón,0.5l,-26%,18.90,13.90,11. 08. 2020
 Zlatopramen radler grapefruit,0.5l,-26%,18.90,13.90,11. 08. 2020
 Zlatopramen radler pomeranč a zázvor,0.5l,-26%,18.90,13.90,11. 08. 2020
 Staropramen Nealko pivo světlé,0.5l,-26%,14.90,10.90,11. 08. 2020
 Zlatopramen Nealko světlé,0.5l,-35%,13.90,8.90,11. 08. 2020
 Cool Grep nealko,0.5l,-35%,19.90,12.90,11. 08. 2020
 Cool Lemon nealko,0.5l,-35%,19.90,12.90,11. 08. 2020
 Cool Nealko jablko a hruška,0.5l,-35%,19.90,12.90,11. 08. 2020
 Cool Nealko malina a borůvka,0.5l,-35%,19.90,12.90,11. 08. 2020
 Cool S příchutí bezový květ & lemongrass nealko,0.5l,-35%,19.90,12.90,11. 08. 2020
 Cool S příchutí okurky & limetky nealko,0.5l,-35%,19.90,12.90,11. 08. 2020
 Cool Višeň a limetka,0.5l,-35%,19.90,12.90,11. 08. 2020
 Heineken pivo nealkoholické světlé,0.5l,-37%,23.90,14.90,11. 08. 2020
 Augustiniánský Sklep Rulandské šedé pozdní sběr polosuché bílé víno,0.75l,-29%,169.90,119.90,31. 08. 2020
 Augustiniánský Sklep Tramín pozdní sběr polosuché bílé víno,0.75l,-29%,169.90,119.90,31. 08. 2020
 Habánské Sklepy Chardonnay jakostní víno odrůdové suché bílé,0.75l,-25%,119.90,89.90,11. 08. 2020
 Habánské Sklepy Müller thurgau jakostní víno odrůdové suché bílé,0.187l,-25%,39.90,29.90,31. 08. 2020
